id,repo_url,prompt,response
e11cfda3-09dc-41e2-8461-6d263e616571,github.com/facebook/react.git,"user|file_name|time_spent_min|total_edits
Ricky|package.json|21.0|21
Andrew Clark|package.json|20.0|20
Sebastian Markbåge|ReactFlightServer.js|26.766666666666666|19
Ruslan Lesiutin|package.json|15.0|15
Ricky|ReactFeatureFlags.www.js|13.0|13
Sebastian Markbåge|ReactFiberHydrationContext.js|10.616666666666667|12
Sebastian Markbåge|ReactFlightClient.js|19.766666666666666|12
Sebastian Markbåge|ReactFlight-test.js|12.0|12
Sebastian Markbåge|ReactDOMServerPartialHydration-test.internal.js|11.0|11
dan|package.json|11.0|11
Jan Kassens|ReactFeatureFlags.www.js|10.0|10
dependabot[bot]|yarn.lock|10.0|10
Andrew Clark|ReactJSXElement.js|10.0|10
Sebastian Markbåge|ReactDOMHydrationDiff-test.js|8.616666666666667|10
Sebastian Markbåge|ReactDOMFizzServer-test.js|10.0|10
Sebastian Markbåge|ReactFiberBeginWork.js|10.0|10
Sebastian Markbåge|ReactFiberWorkLoop.js|9.0|9
Ricky|ReactFeatureFlags.www-dynamic.js|9.0|9
Sebastian Markbåge|codes.json|8.0|8
Jan Kassens|ReactFeatureFlags.native-fb.js|8.0|8
Jan Kassens|ReactFeatureFlags.test-renderer.js|8.0|8
Ricky|ReactFeatureFlags.native-fb.js|6.183333333333334|8
Sebastian Silbermann|ReactDebugHooks.js|8.0|8
Jan Kassens|ReactFeatureFlags.js|8.0|8
Sebastian Markbåge|ReactFizzServer.js|8.0|8
Sebastian Markbåge|ReactServerRenderingHydration-test.js|7.0|7
Sebastian Markbåge|ReactRenderDocument-test.js|7.0|7
Jan Kassens|ReactFeatureFlags.test-renderer.www.js|7.0|7
Ricky|ReactFeatureFlags.js|7.0|7
Sebastian Markbåge|ReactFlightDOMEdge-test.js|5.55|7
Jan Kassens|ReactFeatureFlags.www-dynamic.js|7.0|7
Sebastian Markbåge|ReactFeatureFlags.js|7.0|7
Ricky|ReactFeatureFlags.test-renderer.www.js|7.0|7
Andrew Clark|ReactFiberBeginWork.js|7.0|7
Ruslan Lesiutin|utils.js|7.0|7
Sebastian Markbåge|ReactDOMFloat-test.js|7.0|7
Ruslan Lesiutin|manifest.json|6.0|6
Ricky|ReactFeatureFlags.test-renderer.js|6.0|6
Ricky|ReactFeatureFlags.native-oss.js|4.183333333333334|6
Sebastian Markbåge|ReactFeatureFlags.test-renderer.js|6.0|6
Sebastian Silbermann|ReactHooksInspectionIntegration-test.js|6.0|6
Sebastian Markbåge|ReactDOMRoot-test.js|6.0|6
Jan Kassens|package.json|6.0|6
Sebastian Markbåge|ReactFeatureFlags.www.js|6.0|6
Sebastian Markbåge|ReactFlightDOMClientNode.js|6.0|6
Sebastian Markbåge|ReactDOMComponent.js|6.0|6
Sebastian Markbåge|ReactFlightDOMClientBrowser.js|6.0|6
Sebastian Markbåge|ReactFiber.js|6.0|6
Jan Kassens|yarn.lock|6.0|6
Jan Kassens|ReactFeatureFlags.native-oss.js|6.0|6
Sebastian Markbåge|ReactFeatureFlags.native-oss.js|5.0|5
Andrew Clark|ReactElementProd.js|5.0|5
Andrew Clark|ReactJSXRuntime-test.js|5.0|5
Sebastian Silbermann|ReactFeatureFlags.native-oss.js|5.0|5
Sebastian Markbåge|ReactFeatureFlags.test-renderer.www.js|5.0|5
Andrew Clark|ReactDeprecationWarnings-test.js|5.0|5
Sebastian Markbåge|ReactFeatureFlags.test-renderer.native.js|5.0|5
Sebastian Silbermann|CustomHooks.js|5.0|5
Andrew Clark|ReactAsyncActions-test.js|5.0|5
Ricky|ReactDOMForm-test.js|5.0|5
Sebastian Markbåge|ReactJSXElement.js|5.0|5
Sebastian Markbåge|ReactFiberConfigDOM.js|5.0|5
Ricky|ReactFiberHooks.js|5.0|5
Sebastian Markbåge|ReactInternalTypes.js|5.0|5
Andrew Clark|ReactFiberHooks.js|5.0|5
Andrew Clark|ReactFiberRefs-test.js|5.0|5
Sebastian Markbåge|ReactDOMOption-test.js|5.0|5
Andrew Clark|ReactComponent-test.js|5.0|5
Josh Story|ReactFizzServer.js|5.0|5
Andrew Clark|ReactChildFiber.js|5.0|5
Andrew Clark|refs-test.js|5.0|5
Ricky|ReactDOMFizzServer-test.js|5.0|5
Andrew Clark|ReactFunctionComponent-test.js|5.0|5
Sebastian Markbåge|ReactDOMFizzSuppressHydrationWarning-test.js|5.0|5
Sebastian Markbåge|ReactFeatureFlags.native-fb.js|5.0|5
Timothy Yung|ReactFeatureFlags.native-fb.js|5.0|5
Ricky|ReactFeatureFlags.test-renderer.native.js|5.0|5
Sebastian Markbåge|ReactFiberThrow.js|5.0|5
Sebastian Markbåge|ReactFlightReplyClient.js|5.0|5
Andrew Clark|ReactFiberWorkLoop.js|4.0|4
Ricky|ReactFizzHooks.js|4.0|4
Andrew Clark|ReactFeatureFlags.js|4.0|4
Sebastian Markbåge|shouldIgnoreConsoleError.js|4.0|4
Andrew Clark|ReactElementValidator.js|4.0|4
Timothy Yung|ReactFeatureFlags.native-fb-dynamic.js|4.0|4
Ricky|ReactDOMServerIntegrationUntrustedURL-test.js|4.0|4
Jack Pope|ReactTestRenderer.js|4.0|4
Andrew Clark|ReactCreateElement-test.js|4.0|4
Jack Pope|ReactFeatureFlags.test-renderer.js|4.0|4
Sebastian Silbermann|ReactFeatureFlags.native-fb.js|4.0|4
Sebastian Markbåge|ReactLazy.js|4.0|4
Sebastian Markbåge|ReactDOMSingletonComponents-test.js|4.0|4
Andrew Clark|ReactServer.experimental.js|10.233333333333333|4
Ricky|ReactFlightDOMForm-test.js|4.0|4
Sebastian Silbermann|ReactFeatureFlags.test-renderer.native.js|4.0|4
Jan Kassens|ReactFeatureFlags.test-renderer.native.js|4.0|4
Timothy Yung|ReactFeatureFlags.test-renderer.native.js|4.0|4
Jan Kassens|ReactFeatureFlags.native-fb-dynamic.js|4.0|4
Joseph Savona|index.js|4.0|4
Jack Pope|ReactFeatureFlags.js|4.0|4
Ricky|ReactFiberWorkLoop.js|4.0|4
Sebastian Silbermann|ReactTestUtils-test.js|4.0|4
Andrew Clark|ReactServer.js|10.233333333333333|4
Andrew Clark|ReactIncrementalSideEffects-test.js|4.0|4
Andrew Clark|ReactFiberClassComponent.js|4.0|4
Sebastian Markbåge|ReactDOMLegacy.js|4.0|4
Sebastian Silbermann|ReactFeatureFlags.www.js|4.0|4
Sebastian Markbåge|ReactDOMRoot.js|4.0|4
Andrew Clark|ReactFizzServer.js|4.0|4
Ricky|setupTests.js|4.0|4
Sebastian Markbåge|ReactFiberCompleteWork.js|4.0|4
Sebastian Markbåge|ReactFlightDOMClientEdge.js|4.0|4
Sebastian Markbåge|ReactFiberErrorLogger.js|4.0|4
Sebastian Markbåge|ReactDOMServerIntegrationTestUtils.js|4.0|4
Sebastian Silbermann|ReactFizzConfigDOM.js|4.0|4
Sebastian Silbermann|ReactFeatureFlags.test-renderer.js|4.0|4
Timothy Yung|ReactFeatureFlags.native-oss.js|4.0|4
Sebastian Silbermann|ReactDOMComponent.js|4.0|4
Andrew Clark|ReactJSXElementValidator-test.js|4.0|4
Andrew Clark|ReactFeatureFlags.test-renderer.js|4.0|4
Sebastian Markbåge|ReactFetch-test.js|4.0|4
Sebastian Markbåge|renderer.js|4.0|4
Ricky|ReactDOMServerIntegrationElements-test.js|3.0|3
Ricky|ReactDOMServerIntegrationHooks-test.js|3.0|3
Ricky|ReactJSXElementValidator-test.js|3.0|3
Andrew Clark|ReactJSXTransformIntegration-test.js|3.0|3
Ricky|ReactFunctionComponent-test.js|3.0|3
Ricky|ReactDOMServerPartialHydration-test.internal.js|3.0|3
Sebastian Markbåge|index.classic.fb.js|3.0|3
Ricky|shouldIgnoreConsoleError.js|3.0|3
Sebastian Markbåge|ReactFlightDOMServerNode.js|3.0|3
Josh Story|ReactFiberWorkLoop.js|3.0|3
Josh Story|ReactFeatureFlags.test-renderer.www.js|3.0|3
Andrew Clark|ReactFlightDOMForm-test.js|3.0|3
Sebastian Markbåge|ReactCoffeeScriptClass-test.coffee|3.0|3
Ricky|ReactStrictMode-test.js|3.0|3
Ricky|index.experimental.js|3.0|3
Andrew Clark|ReactFeatureFlags.www.js|3.0|3
Sebastian Markbåge|ReactFiberRoot.js|3.0|3
Ricky|ReactDOMLegacy.js|3.0|3
Sebastian Markbåge|ReactChildFiber.js|3.0|3
Sebastian Markbåge|index.js|3.0|3
Jan Kassens|ReactFizzServer.js|3.0|3
Andrew Clark|ReactFeatureFlags.native-fb.js|3.0|3
Andrew Clark|ReactFeatureFlags.native-oss.js|3.0|3
Sebastian Markbåge|ReactComponentStackFrame.js|3.0|3
Andrew Clark|ReactUse-test.js|3.0|3
Josh Story|ReactFizzConfigDOM.js|3.0|3
Sebastian Markbåge|ReactFiberCommitWork.js|3.0|3
Jan Kassens|ReactFiberBeginWork.js|3.0|3
Ricky|ReactCreateElement-test.js|3.0|3
Ricky|ReactDOMEventListener-test.js|3.0|3
Ruslan Lesiutin|index.js|3.0|3
Sebastian Markbåge|ReactFiberConfigWithNoHydration.js|3.0|3
Sebastian Markbåge|ReactLegacyMount-test.js|3.0|3
Andrew Clark|ReactFeatureFlags.test-renderer.www.js|3.0|3
Sebastian Markbåge|createReactNoop.js|3.0|3
Sebastian Markbåge|ReactFiberReconciler.js|3.0|3
Ricky|refs-test.js|3.0|3
Andrew Clark|ReactElementClone-test.js|3.0|3
Ricky|ReactLegacyMount-test.js|3.0|3
Sebastian Silbermann|ReactFeatureFlags.test-renderer.www.js|3.0|3
Sebastian Markbåge|ReactLazy-test.internal.js|3.0|3
Ricky|ReactComponentLifeCycle-test.js|3.0|3
Jack Pope|ReactFeatureFlags.www.js|3.0|3
Ruslan Lesiutin|renderer.js|3.0|3
Ricky|ReactHooksWithNoopRenderer-test.js|3.0|3
dan|ReactFlightDOMServerNode.js|3.0|3
Andrew Clark|ReactStrictMode-test.js|3.0|3
Josh Story|ReactFeatureFlags.native-fb.js|3.0|3
Ruslan Lesiutin|yarn.lock|3.0|3
Ruslan Lesiutin|CHANGELOG.md|3.0|3
Jan Kassens|ReactDOMFizzServer-test.js|3.0|3
Josh Story|ReactFeatureFlags.native-oss.js|3.0|3
Jan Kassens|build-all-release-channels.js|3.0|3
Andrew Clark|ReactCompositeComponent-test.js|3.0|3
Andrew Clark|ReactElementValidator-test.internal.js|3.0|3
Sebastian Markbåge|ReactSuspenseWithNoopRenderer-test.js|3.0|3
Sebastian Markbåge|ReactTypeScriptClass-test.ts|3.0|3
Jack Pope|ReactLazy-test.internal.js|3.0|3
Ricky|ReactLegacyUpdates-test.js|3.0|3
Jan Kassens|ReactFizzConfigDOM.js|3.0|3
dan|ReactSymbols.js|3.0|3
Ruslan Lesiutin|types.js|3.0|3
Sebastian Markbåge|ReactCompositeComponent-test.js|3.0|3
Sebastian Markbåge|ReactES6Class-test.js|3.0|3
Andrew Clark|ReactDOMServerIntegrationRefs-test.js|3.0|3
Ricky|ReactCompositeComponentState-test.js|3.0|3
Ricky|StrictEffectsMode-test.js|3.0|3
Sebastian Silbermann|ReactFeatureFlags.js|3.0|3
Jack Pope|ReactHooksInspectionIntegration-test.js|3.0|3
Andrew Clark|ReactMemo-test.js|3.0|3
Ricky|ReactDOMServerIntegrationRefs-test.js|3.0|3
Sebastian Markbåge|ReactFiberConfig.custom.js|3.0|3
Sebastian Markbåge|ReactFlightDOMBrowser-test.js|3.0|3
Andrew Clark|ReactFresh-test.js|3.0|3
Josh Story|ReactFiberBeginWork.js|3.0|3
Sebastian Silbermann|ReactDOMServerIntegrationAttributes-test.js|3.0|3
Timothy Yung|xplat.js|3.0|3
Ricky|ReactFiberClassComponent.js|3.0|3
Sebastian Markbåge|ReactFiberComponentStack.js|3.0|3
Andrew Clark|ReactClient.js|9.233333333333333|3
Jack Pope|ReactART-test.js|3.0|3
Josh Story|ReactFeatureFlags.test-renderer.js|3.0|3
Jan Kassens|ReactFiberConfigDOM.js|3.0|3
Ricky|ReactCompositeComponent-test.js|3.0|3
Josh Story|ReactFeatureFlags.js|3.0|3
Jan Kassens|ReactFreshIntegration-test.js|3.0|3
Ricky|ReactFlight-test.js|3.0|3
Jan Kassens|ReactComponentLifeCycle-test.js|3.0|3
Josh Story|ReactFeatureFlags.www.js|3.0|3
Josh Story|ReactFeatureFlags.test-renderer.native.js|3.0|3
Ricky|ReactDOMComponent-test.js|3.0|3
dan|ReactIs.js|3.0|3
Ricky|ReactFizzServer.js|3.0|3
Sebastian Silbermann|AttributeTableSnapshot.md|3.0|3
Jack Pope|ReactTestRenderer-test.internal.js|3.0|3
Andrew Clark|index.stable.js|2.0|2
Ruslan Lesiutin|components.test.js|2.0|2
Ruslan Lesiutin|profilerStore-test.js|2.0|2
Jan Kassens|xplat.js|2.0|2
Josh Story|getComponentNameFromFiber.js|2.0|2
Sebastian Silbermann|ReactDOMServerIntegrationLegacyContext-test.js|2.0|2
Ricky|ReactDOMTextarea-test.js|2.0|2
Sebastian Markbåge|ReactSuspense-test.internal.js|2.0|2
Ricky|ReactDOMComponent.js|2.0|2
Andrew Clark|index.js|2.0|2
Josh Story|ReactDOMFizzServer-test.js|2.0|2
Josh Story|server.node.js|2.0|2
Josh Story|ReactDOMSuspensePlaceholder-test.js|2.0|2
Sebastian Markbåge|ReactErrorBoundaries-test.internal.js|2.0|2
Andrew Clark|ReactFiberLazyComponent.js|2.0|2
Sebastian Silbermann|ReactComponentLifeCycle-test.js|2.0|2
Sebastian Markbåge|ReactFlightClientConfig.dom-browser-turbopack.js|2.0|2
Ricky|ReactFizzClassComponent.js|2.0|2
Joseph Savona|index.classic.fb.js|2.0|2
Ruslan Lesiutin|inspectedElement-test.js|2.0|2
dan|ReactFizzServer.js|2.0|2
Jack Pope|shallow.js|2.0|2
Ricky|ReactDOMRoot-test.js|2.0|2
Andrew Clark|ReactFlightDOMReplyEdge-test.js|2.0|2
Josh Story|ReactFizzConfigDOMLegacy.js|2.0|2
dan|ReactFeatureFlags.js|2.0|2
Sebastian Markbåge|ReactFlightClientConfig.dom-node-webpack.js|2.0|2
Ricky|ReactDOMAttribute-test.js|2.0|2
Ricky|ReactMemo-test.js|2.0|2
Andrew Clark|ReactStartTransition.js|2.0|2
Ricky|ReactFiber.js|2.0|2
Ricky|forwardRef-test.js|2.0|2
Sebastian Markbåge|ReactDeprecationWarnings-test.js|2.0|2
Ricky|ReactDOMServerIntegrationModes-test.js|2.0|2
Ricky|ReactDOMServerIntegrationNewContext-test.js|2.0|2
Ricky|ReactDOMFloat-test.js|2.0|2
Josh Story|jsx-runtime.react-server.js|2.0|2
Noah Lemen|SchedulerFeatureFlags.www.js|2.0|2
Sebastian Markbåge|ReactDOMFizzShellHydration-test.js|2.0|2
Ricky|ReactDOMServerLifecycles-test.js|2.0|2
Sebastian Silbermann|ReactFiberHooks.js|2.0|2
Josh Story|ReactDOMLegacyServerNodeStream.js|2.0|2
Ruslan Lesiutin|setupTests.build-devtools-regression.js|2.0|2
Sebastian Markbåge|ReactSuspensePlaceholder-test.internal.js|2.0|2
Sebastian Markbåge|EventPluginUtils.js|2.0|2
Sebastian Markbåge|ReactFlightDOMServerEdge.js|2.0|2
Andrew Clark|react.react-server.js|2.0|2
Timothy Yung|ReactFeatureFlags.test-renderer.js|2.0|2
Sebastian Markbåge|ReactHooks-test.internal.js|2.0|2
Josh Story|ReactDOMFloat-test.js|2.0|2
Sebastian Markbåge|types.js|2.0|2
dan|index.experimental.js|2.0|2
Noah Lemen|SchedulerFeatureFlags.www-dynamic.js|2.0|2
Andrew Clark|ReactDOMServerIntegrationElements-test.js|2.0|2
Sebastian Silbermann|refs-test.js|2.0|2
Sebastian Markbåge|ReactBrowserEventEmitter-test.js|2.0|2
Andrew Clark|ReactFlightDOMEdge-test.js|2.0|2
Sebastian Markbåge|InvalidEventListeners-test.js|2.0|2
Ricky|ReactInternalTypes.js|2.0|2
Josh Story|ReactCacheClient.js|2.0|2
Jan Kassens|ReactIncrementalErrorHandling-test.internal.js|2.0|2
Josh Story|ReactNoopFlightServer.js|2.0|2
Andrew Clark|ReactFlightTurbopackDOMReply-test.js|2.0|2
Ricky|ReactRenderDocument-test.js|2.0|2
Sebastian Silbermann|ReactChildren-test.js|2.0|2
Andrew Clark|ReactFlightTurbopackDOMForm-test.js|2.0|2
Sebastian Silbermann|yarn.lock|2.0|2
Sebastian Silbermann|ReactDOMInput-test.js|2.0|2
Ricky|yarn.lock|2.0|2
Ricky|ReactChildren-test.js|2.0|2
Ricky|ReactComponent-test.js|2.0|2
Sebastian Silbermann|ReactMultiChildText-test.js|2.0|2
Sebastian Markbåge|ReactHooksInspection-test.js|2.0|2
Joseph Savona|index.modern.fb.js|2.0|2
Andrew Clark|ReactFreshIntegration-test.js|2.0|2
Sebastian Markbåge|ReactTestRenderer-test.internal.js|2.0|2
Josh Story|ReactCompositeComponent-test.js|2.0|2
Sebastian Markbåge|ReactFizzConfigDOM.js|2.0|2
Sebastian Markbåge|DOMPluginEventSystem.js|2.0|2
Ruslan Lesiutin|InspectedElement.js|2.0|2
Sebastian Markbåge|ReactFlightDOMServerBrowser.js|2.0|2
Sebastian Markbåge|ReactFabric.js|2.0|2
Sebastian Silbermann|ReactDOMTextarea-test.js|2.0|2
Sebastian Markbåge|ReactNativeMount-test.internal.js|2.0|2
Ricky|refs-destruction-test.js|2.0|2
Josh Story|ReactDOMSharedInternals.js|2.0|2
Josh Story|ReactComponentLifeCycle-test.js|2.0|2
Ruslan Lesiutin|InspectedElementView.js|2.0|2
Andrew Clark|ReactSchedulerIntegration-test.js|2.0|2
Ricky|ReactJSXRuntime-test.js|2.0|2
Jan Kassens|ReactDOMInput-test.js|2.0|2
Sebastian Markbåge|ReactDebugHooks.js|2.0|2
Ricky|ReactDOMServerIntegrationTextarea-test.js|2.0|2
Andrew Clark|ReactDOMInReactServer-test.js|2.0|2
Sebastian Markbåge|ReactFlightTemporaryReferences.js|2.0|2
Ruslan Lesiutin|standalone.js|2.0|2
Andrew Clark|ReactDOMHydrationDiff-test.js|2.0|2
Andrew Clark|ReactCache-test.js|2.0|2
Timothy Yung|ReactFeatureFlags.www-dynamic.js|2.0|2
Sebastian Markbåge|ReactSuspenseFuzz-test.internal.js|2.0|2
Sebastian Markbåge|ReactTypes.js|2.0|2
Ricky|ReactNewContext-test.js|2.0|2
Ruslan Lesiutin|storeComponentFilters-test.js|2.0|2
Andrew Clark|ReactFlightTurbopackDOMEdge-test.js|2.0|2
Sebastian Markbåge|ReactLegacyUpdates-test.js|2.0|2
Ricky|createReactClassIntegration-test.js|2.0|2
Ricky|ReactDOMFizzForm-test.js|2.0|2
Ricky|ReactFreshIntegration-test.js|2.0|2
Sebastian Markbåge|ReactFlightClientConfig.dom-edge-webpack.js|2.0|2
Sebastian Markbåge|ReactFizzComponentStack.js|2.0|2
Josh Story|ReactDOMLegacyFiber-test.js|2.0|2
Sebastian Markbåge|transform-error-messages.js|2.0|2
Ruslan Lesiutin|store-test.js|2.0|2
Ricky|ReactJSXElement.js|2.0|2
Andrew Clark|ReactFiberTransition.js|2.0|2
Ricky|ReactDOM.js|2.0|2
Josh Story|renderer.js|2.0|2
Ricky|ReactBrowserEventEmitter-test.js|2.0|2
Andrew Clark|ReactTestUtilsActUnmockedScheduler-test.js|2.0|2
Sebastian Markbåge|ReactDOM-test.js|2.0|2
Sebastian Markbåge|ReactHooksWithNoopRenderer-test.js|2.0|2
Josh Story|ReactFiber.js|2.0|2
Jack Pope|ReactFeatureFlags.www-dynamic.js|2.0|2
Sebastian Markbåge|ReactDOMConsoleErrorReportingLegacy-test.js|2.0|2
Sebastian Markbåge|ReactHooksInspectionIntegration-test.js|2.0|2
Andrew Clark|ReactFeatureFlags.test-renderer.native.js|2.0|2
Timothy Yung|ReactFiberCommitWork.js|2.0|2
Andrew Clark|index.modern.fb.js|2.0|2
Ricky|config.base.js|2.0|2
Jan Kassens|ReactFlightDOMForm-test.js|2.0|2
Ricky|ReactDOMServerIntegrationReconnecting-test.js|2.0|2
dan|ReactFlightDOMServerEdge.js|2.0|2
Sebastian Markbåge|ReactElementProd.js|2.0|2
Sebastian Silbermann|DOMPluginEventSystem-test.internal.js|2.0|2
Andrew Clark|ReactFlight-test.js|2.0|2
Ricky|xplat.js|2.0|2
Jan Kassens|ReactErrorBoundaries-test.internal.js|2.0|2
Sebastian Markbåge|ReactTestUtils.js|2.0|2
Ricky|useSyncExternalStoreShared-test.js|2.0|2
Ricky|ReactDOMHydrationDiff-test.js|2.0|2
